# Data from Open Admin Data (https://openadmindata.org/pk/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/pakistan-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.district,children_count.tehsil,zip_codes,geo.lat,geo.lon,source_url
PK1,1,صوبہ,Province,آزاد کشمیر,Azad Kashmir,azad-kashmir-pk1,PK1,,,,,,10,32,,33.953,73.901,https://openadmindata.org/pk/provinces/azad-kashmir-pk1/
PK101,2,ضلع,District,باغ,Bagh,bagh-pk101,PK101,,PK1,آزاد کشمیر,Azad Kashmir,,,3,12510,34.003,73.731,
PK102,2,ضلع,District,ضلع بھمبر,Bhimber,bhimber-pk102,PK102,,PK1,آزاد کشمیر,Azad Kashmir,,,3,10030,33.014,74.15,
PK103,2,ضلع,District,وادی جہلم,Jhelum Valley,jhelum-valley-pk103,PK103,,PK1,آزاد کشمیر,Azad Kashmir,,,3,10500,34.188,73.797,
PK104,2,ضلع,District,ضلع حویلی,Haveli,haveli-pk104,PK104,,PK1,آزاد کشمیر,Azad Kashmir,,,3,10080,33.935,74.12,
PK105,2,ضلع,District,کوٹلی,Kotli,kotli-pk105,PK105,,PK1,آزاد کشمیر,Azad Kashmir,,,6,11210,33.454,73.947,
PK106,2,ضلع,District,ضلع میر پور,Mirpur,mirpur-pk106,PK106,,PK1,آزاد کشمیر,Azad Kashmir,,,2,10350,33.239,73.759,
PK107,2,ضلع,District,مظفر آباد,Muzaffarabad,muzaffarabad-pk107,PK107,,PK1,آزاد کشمیر,Azad Kashmir,,,2,13170,34.323,73.58,
PK108,2,ضلع,District,ضلع نیلم,Neelum,neelum-pk108,PK108,,PK1,آزاد کشمیر,Azad Kashmir,,,2,89300,34.757,73.985,
PK109,2,ضلع,District,ضلع پونچھ,Poonch,poonch-pk109,PK109,,PK1,آزاد کشمیر,Azad Kashmir,,,4,12170,33.786,73.897,
PK110,2,ضلع,District,سدھنوتی,Sudhnoti,sudhnoti-pk110,PK110,,PK1,آزاد کشمیر,Azad Kashmir,,,4,12070,33.704,73.739,
PK2,1,صوبہ,Province,بلوچستان,Balochistan,balochistan-pk2,PK2,,,,,,35,103,,28.497,65.71,https://openadmindata.org/pk/provinces/balochistan-pk2/
PK201,2,ضلع,District,ضلع آواران,Awaran,awaran-pk201,PK201,,PK2,بلوچستان,Balochistan,,,4,88210,26.424,65.465,
PK202,2,ضلع,District,ضلع بارکھان,Barkhan,barkhan-pk202,PK202,,PK2,بلوچستان,Balochistan,,,2,84100,29.985,69.691,
PK203,2,ضلع,District,ضلع چاغی,Chagai,chagai-pk203,PK203,,PK2,بلوچستان,Balochistan,,,4,95100,28.875,63.418,
PK204,2,ضلع,District,ڈیرہ بگٹی,Dera Bugti,dera-bugti-pk204,PK204,,PK2,بلوچستان,Balochistan,,,3,80100,29.06,69.011,
PK205,2,ضلع,District,گوادر,Gwadar,gwadar-pk205,PK205,,PK2,بلوچستان,Balochistan,,,5,92650,25.425,62.548,
PK206,2,ضلع,District,ضلع ہرنائی,Harnai,harnai-pk206,PK206,,PK2,بلوچستان,Balochistan,,,2,82300,30.042,68.086,
PK207,2,ضلع,District,جعفرآباد,Jaffarabad,jaffarabad-pk207,PK207,,PK2,بلوچستان,Balochistan,,,3,80300,28.249,68.103,
PK208,2,ضلع,District,ضلع جھل مگسی,Jhal Magsi,jhal-magsi-pk208,PK208,,PK2,بلوچستان,Balochistan,,,2,81100,28.37,67.543,
PK209,2,ضلع,District,ضلع کچھی,Kachhi,kachhi-pk209,PK209,,PK2,بلوچستان,Balochistan,,,5,81400,29.341,67.659,
PK210,2,ضلع,District,قلات,Kalat,kalat-pk210,PK210,,PK2,بلوچستان,Balochistan,,,2,81550,29.088,66.77,
PK211,2,ضلع,District,ضلع کیچ,Kech,kech-pk211,PK211,,PK2,بلوچستان,Balochistan,,,5,92500,26.008,63.092,
PK212,2,ضلع,District,ضلع خاران,Kharan,kharan-pk212,PK212,,PK2,بلوچستان,Balochistan,,,3,94100,28.729,65.497,
PK213,2,ضلع,District,خضدار,Khuzdar,khuzdar-pk213,PK213,,PK2,بلوچستان,Balochistan,,,5,89200,27.294,66.481,
PK214,2,ضلع,District,ضلع قلعہ عبداللہ,Killa Abdullah,killa-abdullah-pk214,PK214,,PK2,بلوچستان,Balochistan,,,3,86720,31.116,67.024,
PK215,2,ضلع,District,ضلع قلعہ سیف اللہ,Killa Saifullah,killa-saifullah-pk215,PK215,,PK2,بلوچستان,Balochistan,,,2,85400,31.053,68.499,
PK216,2,ضلع,District,ضلع کوہلو,Kohlu,kohlu-pk216,PK216,,PK2,بلوچستان,Balochistan,,,3,85220,29.644,68.807,
PK217,2,ضلع,District,ضلع لسبیلہ,Lasbela,lasbela-pk217,PK217,,PK2,بلوچستان,Balochistan,,,9,90150,25.773,66.603,
PK218,2,ضلع,District,ضلع لہڑی,Lehri,lehri-pk218,PK218,,PK2,بلوچستان,Balochistan,,,2,81250,28.994,67.986,
PK219,2,ضلع,District,لورالائی,Loralai,loralai-pk219,PK219,,PK2,بلوچستان,Balochistan,,,2,82100,30.478,68.88,
PK220,2,ضلع,District,مستونگ,Mastung,mastung-pk220,PK220,,PK2,بلوچستان,Balochistan,,,3,88100,29.746,66.731,
PK221,2,ضلع,District,ضلع موسیٰ خیل,Musakhel,musakhel-pk221,PK221,,PK2,بلوچستان,Balochistan,,,3,84600,30.897,69.958,
PK222,2,ضلع,District,ضلع نصیر آباد,Nasirabad,nasirabad-pk222,PK222,,PK2,بلوچستان,Balochistan,,,3,19210,28.626,68.129,
PK223,2,ضلع,District,ضلع نوشکی,Nushki,nushki-pk223,PK223,,PK2,بلوچستان,Balochistan,,,1,95150,29.447,65.733,
PK224,2,ضلع,District,ضلع پنجگور,Panjgur,panjgur-pk224,PK224,,PK2,بلوچستان,Balochistan,,,4,93200,26.715,64.202,
PK225,2,ضلع,District,پشین,Pishin,pishin-pk225,PK225,,PK2,بلوچستان,Balochistan,,,5,86000,30.703,67.131,
PK226,2,ضلع,District,کوئٹہ,Quetta,quetta-pk226,PK226,,PK2,بلوچستان,Balochistan,,,3,87500,30.141,67.077,
PK227,2,ضلع,District,ضلع شیرانی,Sherani,sherani-pk227,PK227,,PK2,بلوچستان,Balochistan,,,1,87750,31.681,69.764,
PK228,2,ضلع,District,سبی,Sibi,sibi-pk228,PK228,,PK2,بلوچستان,Balochistan,,,1,85220,29.728,68.251,
PK229,2,ضلع,District,ضلع صحبت پور,Sohbatpur,sohbatpur-pk229,PK229,,PK2,بلوچستان,Balochistan,,,1,78200,28.542,68.521,
PK230,2,ضلع,District,ضلع واشک,Washuk,washuk-pk230,PK230,,PK2,بلوچستان,Balochistan,,,5,94110,27.792,64.308,
PK231,2,ضلع,District,ژوب,Zhob,zhob-pk231,PK231,,PK2,بلوچستان,Balochistan,,,2,85200,31.212,69.197,
PK232,2,ضلع,District,ضلع زیارت,Ziarat,ziarat-pk232,PK232,,PK2,بلوچستان,Balochistan,,,2,84300,30.381,68.066,
